ID,PE,PE Title,Budget Activity,Budget Activity Title,Account,Classified,FY 1999,FY 2000,FY 2000 App,FY 2001,FY 2001 App,FY 2001 PB,FY 2002,FY 2002 App,FY 2002 PB,FY 2003,FY 2003 App,FY 2003 PB,FY 2004,FY 2004 App,FY 2004 PB,FY 2005,FY 2005 App,FY 2005 PB,FY 2006,FY 2006 App,FY 2006 PB,FY 2007,FY 2007 App,FY 2007 PB,FY 2008,FY 2008 App,FY 2008 PB,FY 2009,FY 2009 App,FY 2009 PB,FY 2010,FY 2010 App,FY 2010 PB,FY 2010 OCO PB,FY 2010 OCO Sup,FY 2011,FY 2011 CR,FY 2011 CR OCO,FY 2011 PB,FY 2011 OCO PB,FY 2012,FY 2012 App,FY 2012 OCO App,FY 2012 PB,FY 2012 OCO PB,FY 2013,FY 2013 App,FY 2013 OCO App,FY 2013 PB,FY 2013 OCO PB,FY 2014,FY 2014 App,FY 2014 OCO App,FY 2014 PB,FY 2014 OCO PB,FY 2015 App,FY 2015 OCO App,FY 2015 PB,FY 2015 OCO PB,FY 2016 PB,FY 2016 OCO PB
4270,0607384BP ,Chemical and Biological Defense (Operational Systems Development),7,Operational System Development,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3442,2070,2131,2178,9671,9949,10093,6940,7008,7035,7572,7667,7716,12494,12640,10274,6089,6172,6198,0,0,6521,6622,0,6634,0,17837,15956,0,15956,0,13810,14745,0,14745,0,12873,13026,0,13026,0,28496,0,28496,0,33561,0
4271,0605384BP,Chemical and Biological Defense Program,6,Management Support,400,,25099,31725,24553,33866,23686,23907,43970,31052,31276,48678,35889,42959,56059,38928,39345,49645,36434,42652,100510,81494,81425,101249,82521,80134,109777,98423,99053,100470,99811,100082,113354,106033,106477,0,0,132651,120781,0,120995,0,116705,92806,0,92806,0,89100,92849,0,92849,0,92265,89346,0,92046,0,105927,0,105944,0,102264,0
4272,0601384BP,Chemical and Biological Defense Program,1,Basic Research,400,,28505,42827,44040,38369,39532,33197,44815,45791,39066,53162,54829,64119,46946,51380,35831,51998,54056,36769,91281,94366,72533,104830,104257,99182,82399,83132,72003,60355,61194,53191,63796,78764,58974,0,0,48663,49421,0,49508,0,46561,52617,0,52617,0,45613,50566,0,50566,0,50738,51426,0,51426,0,48261,0,48261,0,46261,0
4273,0602384BP,Chemical and Biological Defense Program,2,Applied Research,400,,62301,90557,97400,93172,81061,73600,142988,146431,125481,170183,173362,262177,150730,151372,106451,172120,168827,104385,240904,246953,187787,252343,258862,280422,269580,266999,305327,231331,239297,203731,233443,224830,209072,0,0,171000,168988,0,169287,0,223009,219873,0,219873,0,202700,223269,0,223269,0,195160,197065,0,227065,0,226317,0,226317,0,208111,0
4274,0603384BP,Chemical and Biological Defense Program - Advanced Development,3,Advanced Technology Development,400,,59186,44705,56911,58241,59905,46594,81777,75266,69249,105700,107763,249842,148276,156496,103725,175182,181972,117343,227204,234039,164481,223838,235760,207114,238220,245591,232302,307351,324769,337927,304952,299680,282235,0,0,218323,176800,0,177113,0,225441,229200,0,229235,0,214226,234280,0,234280,0,140595,144847,0,170847,0,155374,22700,132674,0,140094,0
4275,0603884BP,Chemical and Biological Defense Program - Dem/Val,4,Advanced Component Development And Prototypes,400,,61409,67456,68502,82315,84992,83800,123517,89756,82636,91567,89925,144790,128350,131433,162142,125420,125718,104195,127371,122274,100796,99042,80407,73111,65865,63951,57160,69793,62721,51291,248298,209275,205952,0,0,267867,276572,0,277062,0,201871,213155,0,261143,0,163464,179023,0,179023,0,189193,189237,0,196237,0,180536,17300,179236,0,172754,0
4276,0604384BP,Chemical and Biological Defense Program - EMD,5,System Development And Demonstration,400,,103159,112908,118458,98836,102707,100815,157559,161383,159943,168723,172262,169018,172505,176337,148017,138278,145794,152379,250752,260279,280908,194955,212369,212072,277699,251526,247935,286529,300149,299373,237631,300317,332895,0,0,294837,406443,0,407162,0,308791,316608,0,400608,0,268360,311071,0,311071,0,415467,426299,0,451306,0,345883,10000,345883,0,303647,0
4277,0602622A,"Chemical, Smoke and Equipment Defeating Technology",2,Applied Research,2040,,4660,4524,4953,3840,3497,3530,6079,6529,3561,15480,15643,3675,21851,21722,3540,9977,7585,3476,9856,10567,2519,12665,12762,2212,10248,8976,2235,8873,8906,2295,8706,13622,5293,0,0,10555,5881,0,5324,0,4753,4869,0,4877,0,4010,4465,0,4465,0,4378,4487,0,4490,0,3970,0,3971,0,3866,0
4278,0604708F,"Civil, Fire, Environmental, Shelter Engineering",5,,3600,,2599,2595,2682,0,0,2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4279,0901218F,Civilian Compensation Program,7,Operational Systems Development,3600,,6700,6902,6891,7063,7143,7209,10973,6949,7019,14189,7057,7132,14369,7069,7130,14608,7208,7272,13759,7339,7445,13160,7750,7779,13328,8019,8070,14647,8101,8123,8140,8174,8174,0,0,7771,8015,0,7811,0,1581,1508,0,1508,0,2564,1561,0,1561,0,2296,1577,0,1577,0,1589,0,1589,0,3604,0
4280,0603765E,Classified DARPA Programs,3,Advanced Technology Development,400,Classified (Named),48797,55206,78973,96716,100457,101387,118284,139895,142395,261851,287695,275899,211192,218192,210532,148933,180802,238131,156107,160213,162534,147159,151025,151598,186582,186992,188188,193690,196164,196697,162880,177582,186526,0,0,79824,166713,0,167008,0,104662,107226,0,107226,0,2760,3000,0,3000,0,,0,0,0,0,,,0,0,,
4281,0605128BR,Classified Program,6,,400,Classified (Unnamed),13583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4282,0605128D8Z,Classified Program USD(P),6,Management Support,400,Classified (Named),3230,11185,11296,8842,8842,0,45000,45000,0,186192,24832,0,145169,145835,0,121330,87908,0,86784,88566,0,91626,93462,0,109452,97576,0,99622,101440,0,92066,94864,0,0,0,102124,0,0,0,0,97603,96401,0,0,0,89695,0,0,0,0,99957,100000,0,0,0,100000,0,0,0,0,0
4283,0603831N ,Classified Programs,5,,1319,Classified (Unnamed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4284,0301555A ,CLASSIFIED PROGRAMS,7,,2040,Classified (Unnamed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4285,0301555BB ,CLASSIFIED PROGRAMS,7,,400,Classified (Unnamed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4286,0301555G,Classified Programs,6,,400,Classified (Unnamed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4287,0301555G,Classified Programs,7,,400,Classified (Unnamed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288,0301555F,Classified Programs,1,,3600,Classified (Unnamed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4289,0301555N,Classified Programs,7,,1319,Classified (Unnamed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4290,0301555BQ,Classified Programs,7,,400,Classified (Unnamed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4291,0301555BZ,Classified Programs,7,,400,Classified (Unnamed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4292,0605710D8Z,Classified Programs - C3I,6,,400,Classified (Named),61733,574,598,636,636,641,44274,44274,56653,75066,106727,60708,34093,41541,20556,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4293,0603923D8Z,Coalition Warfare,4,Advanced Component Development And Prototypes,400,,0,0,0,5945,5945,11839,5844,5844,12943,6545,6562,12444,5704,5822,5906,5643,5749,5886,5524,5685,5777,5844,5845,5878,9768,9960,14047,12482,13246,14030,13094,13773,13885,0,0,13431,13762,0,13786,0,11389,12434,0,12743,0,10559,11398,0,11398,0,9597,9827,0,9842,0,10125,0,10139,0,10350,0
4294,0301314F ,COBRA BALL,7,,3600,Classified (Named),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4295,0305149N ,COBRA JUDY,7,Operational Systems Development,1319,Classified (Named),0,0,0,0,0,0,0,0,0,50510,51061,0,68519,68583,69369,92661,92712,80694,119527,117749,121261,134815,134815,135372,131836,131836,132679,100814,100816,101114,61802,61804,62061,0,0,36278,41100,0,36527,0,40605,40605,0,40605,0,14460,17091,0,17091,0,,0,0,0,0,,,0,0,,
4296,0305149F ,COBRA JUDY (H),4,,3600,Classified (Named),0,0,0,0,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4297,0804767D8Z,COCOM Exercise Engagement and Training Transformation (CE2T2) - MHA,6,Management Support,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39364,40375,34306,0,0,47050,92090,0,92253,0,37244,37255,0,59958,0,56325,77475,0,77475,0,38245,38909,0,43247,0,38950,0,44005,0,43811,0
4298,0602304E ,Cognitive Computing Systems,2,Applied Research,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145833,149782,0,159244,163430,200799,165395,180003,220085,157897,174680,179728,122810,144869,145262,132630,144236,142840,0,0,81796,89984,0,90143,0,46020,49365,0,49365,0,27538,30424,0,30424,0,15847,16330,0,16330,0,0,0,0,0,0,0
4299,0301323N ,Collection Management,7,,1319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,0604223A,Comanche,5,,2040,,352217,458459,463124,590771,608410,614041,754381,781307,787866,865613,874018,914932,1030510,1068029,1079257,0,0,1229664,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301,0207431F,Combat Air Intelligence System Activities,7,Operational Systems Development,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,1475,1475,0,0,4593,3396,0,3310,0,5428,5428,0,5428,0,5275,5756,0,5756,0,5780,4471,0,4471,0,7891,0,7891,0,7793,0
4302,0604713A,"Combat Feeding, Clothing, and Equipment",5,System Development & Demonstration,2040,,62500,64457,60600,88705,88502,86321,90579,90244,91002,80989,86449,94474,95484,98960,67283,107912,98445,115093,3224,3334,3383,2922,2984,3017,2417,2485,2501,2422,2491,2499,2010,2081,2092,0,0,2043,2340,0,2118,0,2008,2073,0,2075,0,1901,2132,0,2132,0,1874,1938,0,1939,0,3034,0,1335,0,1763,0
4303,0604817A,Combat Identification,5,System Development & Demonstration,2040,,15520,17705,8566,6705,5313,5362,2892,2989,3014,4983,4985,1995,11402,11817,3541,12068,12069,6994,2193,5395,2973,38,39,39,10866,11290,11362,8967,10873,10909,7740,10018,20070,0,0,2893,33011,0,29884,0,,0,0,0,0,,,,0,0,,,,,,,,,,,
4304,0603742F,Combat Identification Technology,4,Advanced Component Development & Prototypes,3600,,5109,6434,7334,10497,10832,10933,12849,11409,11523,11580,12135,12434,25949,16434,16575,23634,19404,19582,49569,51146,51893,23389,26407,26517,25170,25875,26054,28708,29300,29400,27850,28799,27252,0,0,35208,26856,0,26172,0,37039,38447,0,38496,0,25987,32243,0,32243,0,12938,13386,0,15899,0,10980,0,10980,0,21790,0
4305,0604518N,Combat Information Center Conversion,5,System Development & Demonstration,1319,,6539,7715,8082,7524,3686,3720,5070,5344,5392,0,0,0,13259,13093,21244,10434,10618,8228,10940,7805,6908,7502,7679,6708,18163,18365,17139,17314,17732,14792,12757,13250,13305,0,0,4915,5675,0,5044,0,3315,3400,0,3400,0,817,918,0,918,0,,0,0,0,0,,,0,0,,
4306,0207414F,Combat Intelligence System,7,,3600,,13635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4307,0207227F,Combat Rescue - Pararescue,7,Operational Systems Development,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2871,2950,2950,0,0,2821,2997,0,2921,0,914,927,0,927,0,992,1119,0,1119,0,350,350,0,542,0,883,0,883,0,657,0
4308,0207224F ,Combat Rescue and Recovery,7,Operational Systems Development,3600,,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,6460,12234,12342,50672,70801,113825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,969,0,944,0,2292,2292,0,2292,0,1910,2095,0,2095,0,2582,2582,0,2582,0,5095,0,5095,0,412,0
4309,0603805A,Combat Service Support Control System Evaluation and Analysis,4,Advanced Component Development & Prototypes,2040,,14312,11281,11017,13627,13627,13753,8395,8621,8696,8275,8415,8971,8151,8585,8682,6117,6138,6366,10046,10507,10659,8403,8549,8645,14389,14959,19054,17267,17729,17788,9898,9817,9868,0,0,20801,15785,0,14290,0,5090,5250,0,5258,0,4499,5054,0,5054,0,,0,0,0,0,,,0,0,,
4310,0305176F,Combat Survivor Evader Locator,5,System Development & Demonstration,3600,,3977,12863,13212,10074,10742,10842,13815,11344,11486,13214,14062,14274,13862,14517,14684,0,0,0,16817,17250,0,0,0,0,4900,0,0,12500,0,0,,0,0,0,0,,,,0,0,,,,,,,,,,,0,,,,,0,0,,,993,0
4311,0603582N,Combat System Integration,4,Advanced Component Development & Prototypes,1319,,38337,76800,78305,57211,54461,32966,63904,61368,42915,57957,57048,40464,102456,97969,86836,100974,99099,80840,74626,92310,76975,58418,64088,62095,52316,53872,53427,62472,64204,54401,20822,22444,22558,0,0,33323,27392,0,24344,0,48999,34123,0,34157,0,45131,56551,0,56551,0,4270,4396,0,36570,0,20881,0,20881,0,35901,0
4312,0604735F,Combat Training Ranges,5,System Development & Demonstration,3600,,13141,11484,11828,9568,16407,12559,23393,25686,25943,15244,15713,13524,24077,24077,20383,15712,21326,18714,8336,8794,6122,16325,16700,14363,15541,17546,17657,12241,27971,28047,21559,22718,29718,0,0,35723,37869,0,36905,0,7869,8106,0,28106,0,9209,9222,0,9222,0,19649,25300,0,33200,0,10129,0,10129,0,15795,0
4313,0603005A,Combat Vehicle and Automotive Advanced Technology,3,Advanced Technology Development,2040,,58706,196362,130525,167679,166571,148114,220196,225960,193858,304885,264795,229778,266576,270656,210856,284720,279260,203126,212115,242013,142866,200974,204383,109952,242286,245629,131436,270195,263879,107992,261689,240190,89586,0,0,125677,98863,0,89499,0,142833,145914,0,106145,0,128463,104359,0,104359,0,146486,146992,0,97043,0,147485,0,110031,0,113071,0
4314,0602601A,Combat Vehicle and Automotive Technology,2,Applied Research,2040,,38139,57452,54776,87009,88274,63589,109394,112957,82441,81562,79952,55763,125893,125147,80910,110057,114108,69638,81693,92857,64883,88749,91483,59304,87144,93622,53342,84436,89036,55234,79649,78923,55937,0,0,61893,71513,0,64740,0,62339,64205,0,64306,0,62267,69062,0,69062,0,63476,64555,0,64589,0,72861,0,72883,0,68839,0
4315,0203735A,Combat Vehicle Improvement Programs,7,Operational Systems Development,2040,,89010,84004,83271,95689,100575,99423,159759,166449,195602,81285,82702,54465,31018,31336,24486,17162,17174,15952,23737,31080,12030,13873,14380,12741,42809,41192,27615,139100,143041,141114,169400,196393,190301,0,0,187207,225875,0,204481,0,35046,36150,0,53307,0,189396,253959,0,253959,0,171543,177437,0,177532,0,297850,0,295177,0,257167,0
4316,0305880L,Combatant Command Intelligence Operations,7,,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4317,0603122D8Z,Combating Terrorism Technology Support,3,Advanced Technology Development,400,,36349,55324,55449,48852,48852,41307,56011,56011,42243,114374,111377,49015,94720,97291,60526,116717,97661,46719,141288,143949,55301,104880,114728,65768,110534,117628,76276,114990,123012,79970,124901,117153,81868,0,0,90211,85148,0,85299,0,74563,74586,0,77019,0,108245,77144,0,77144,0,98197,100754,0,77792,0,94541,0,69675,0,71171,0
4318,0603125A ,Combating Terrorism - Technology Development,3,Advanced Technology Development,2040,,0,0,0,0,0,0,0,0,0,41822,41842,0,8480,8610,4916,30427,8034,3383,9528,10159,6306,12953,8503,7497,13220,12978,13061,12656,13022,13064,11366,11927,11989,0,0,9424,11654,0,10550,0,21939,22172,0,12191,0,9199,9716,0,9716,0,14546,15046,0,15054,0,24257,0,24270,0,27520,0
4319,0305172F ,Combined Advanced Applications,7,,3600,Classified (Named),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4320,0604780A,Combined Arms Tactical Trainer (CATT) Core,5,System Development & Demonstration,2040,,21644,38563,19775,17784,18328,18498,11799,13531,13645,8162,8247,7579,3817,3956,3998,16304,18316,23849,41139,43344,37471,37683,38471,39901,34684,36800,37035,32541,30566,29468,25241,26107,26243,0,0,26699,30565,0,27670,0,21541,22205,0,22226,0,16005,17797,0,17797,0,26720,27619,0,27634,0,34712,0,42430,0,21622,0
4321,0888888U,Combined Dummy PE,6,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4322,0305108K,Command and Control Research,2,,400,,1943,1953,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4323,0602702F,Command Control and Communications,2,Applied Research,3600,,75208,55551,52085,84376,86448,78749,63572,66561,61659,77637,78204,70951,78879,79594,71674,84201,84887,82147,95676,96714,93316,125791,128680,119267,119545,121417,116705,114510,115559,109492,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4324,0603760E,"Command, Control and Communications Systems",3,Advanced Technology Development,400,,171370,175665,185926,129162,128778,128863,117007,115149,117451,115654,117164,130101,189062,193562,242738,213971,219765,225784,207852,213316,216408,229399,227626,232489,242540,255235,256868,297643,328073,338964,253733,269198,293476,0,0,200593,219421,0,219809,0,246476,261606,0,296537,0,189909,237859,0,237859,0,229510,239078,0,239078,0,239265,0,243265,0,201335,0
4325,0603617F,"Command, Control, and Communication Applications",4,,3600,,8234,5175,7769,7368,7756,7828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4326,0603006A,Space Application Advanced Technology,3,Advanced Technology Development,2040,,22892,27340,27612,27820,28243,21505,33272,33176,31865,8700,6814,4826,11168,11339,10379,9540,9544,9946,11964,12880,12066,11626,11997,10851,11781,14082,12255,11307,11544,9183,12074,12352,8667,0,0,7823,8950,0,8102,0,4158,5304,0,5312,0,3702,4157,0,4157,0,10706,5862,0,5866,0,6880,0,6883,0,5554,0
4327,0604805A,"Command, Control, Communications Systems - Eng Dev",5,System Development & Demonstration,2040,,19618,28503,23836,62557,61249,49316,112970,118643,122644,89465,89546,82238,209197,216811,219088,217686,218402,219790,309036,318947,393062,10766,13037,10783,9188,9942,10047,9489,9762,9795,57040,58688,88995,0,0,73042,100229,0,90736,0,79188,81733,0,137811,0,18543,20776,0,20776,0,7131,7376,0,7379,0,4431,0,4433,0,2726,0
4328,0602782A,"Command, Control, Communications Technology",2,Applied Research,2040,,21597,19101,19519,22987,23101,23314,22130,24123,24342,20805,21150,21821,18223,18115,18728,28774,27416,18604,45044,49242,21787,46332,48412,21193,42004,36955,22215,45350,41218,24014,31691,30036,24833,0,0,24914,28249,0,25573,0,25703,26075,0,26116,0,26200,28852,0,28852,0,33580,34191,0,34209,0,33807,0,33817,0,36160,0
4329,0604805D8Z,Commercial Operations and Support Savings Initiative,5,,400,,7221,11554,11582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4330,0604805D8Z,Commercial Operations and Support Savings Initiative,7,,400,,0,0,0,9541,9541,9629,22735,22735,10805,14499,15504,10320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4331,0604805F,Commercial Operations and Support Savings Initiative,5,,3600,,11617,17272,19904,18418,19669,19851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4332,0604805N,Commercial Operations and Support Savings Initiative,5,,1319,,15208,19587,21731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4333,0604805N,Commercial Operations and Support Savings Initiative,7,,1319,,0,0,0,8025,8372,12485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4334,0603752D8Z,Commercial Technology Insertion Program,3,,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4335,0604856F ,Common Aero Vehicle (CAV),4,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,17025,17025,12220,16053,16464,21610,26548,26993,27394,31523,33185,33386,3695,3974,32806,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4336,0604762F,Common Low Observables Verification System (CLOVerS),5,,3600,,4054,9704,5818,9009,11515,11621,5732,6647,6713,4695,4730,4781,6605,6941,7000,8940,10212,10303,12737,8568,8692,4361,4483,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4337,0603235N ,Common Picture Advanced Technology,3,Advanced Technology Development,1319,,0,0,0,0,0,0,51521,49807,48583,45656,47262,37753,83556,79690,69194,83365,83062,79521,71962,73056,60589,63076,65686,61725,94939,92401,40782,86583,90080,104578,105124,104531,108394,0,0,91526,108828,0,96720,0,46530,48985,0,49068,0,,0,0,0,0,,,,0,0,,,,,,
4338,0602235N ,Common Picture Applied Research,2,Applied Research,1319,,0,0,0,0,0,0,122933,124370,83557,142203,148222,75594,87928,95432,59022,100205,102107,60134,105207,106391,57693,86852,88929,68352,105732,103751,93376,89673,85235,77054,88467,90440,83163,0,0,68155,78952,0,70168,0,70935,65184,0,65448,0,37643,41696,0,41696,0,35411,34136,0,34163,0,43533,0,43541,0,42551,0
4339,0604234N ,Advanced Hawkeye,5,System Development & Demonstration,1319,,0,0,0,0,0,0,75661,78152,96000,107043,111186,113681,328121,343306,352298,542447,590592,597015,598069,614231,629682,483995,495962,497842,785792,791707,808993,468027,482848,484159,346194,361053,364557,0,0,168157,192555,0,171132,0,129414,130994,0,110994,0,125194,119065,0,119065,0,103489,107041,0,152041,0,176700,0,193200,0,272149,0
4340,0604263F,Common Vertical Lift Support Platform,7,Operational Systems Development,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3858,3858,3868,3847,4000,9513,0,0,3980,0,0,0,0,5365,5365,0,5365,0,,0,0,0,0,,,,0,0,,,,,,
4341,0603761E,Communication and Simulation Technology,3,,400,,50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4342,0303401F,Communications Security (COMSEC),7,,3600,,0,0,0,4627,4812,4857,3726,3942,4131,4344,4661,4765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4343,0602232N,"Communications, Command and Control, Intelligence, Surveil.",2,,1319,,71147,83113,91166,113270,113851,79905,0,0,0,1333,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4344,0207253F,Compass Call,7,Operational Systems Development,3600,,11892,13780,12837,20770,21634,5834,3647,3868,3908,8786,9239,3877,8386,8706,3790,3952,3955,3990,9598,9907,4650,9586,9931,4469,13470,8549,4603,4526,4657,4670,13019,13019,13019,0,0,19949,21192,0,20652,0,19229,18509,0,18509,0,10733,12094,0,12094,0,10745,10745,0,10782,0,14315,0,14411,0,14249,0
4345,0602783A,Computer and Software Technology,2,Applied Research,2040,,3777,5121,5173,4360,3950,3987,3895,4113,6154,3931,4001,4354,4031,4010,4142,5346,3862,3982,4447,4521,3590,6602,6719,3844,8676,9803,5368,7786,6274,5495,9896,5609,5639,0,0,6599,7476,0,6768,0,8433,8577,0,8591,0,8886,9830,0,9830,0,10232,10434,0,10439,0,10761,0,10764,0,12656,0
4346,0708612F,Computer Resources Support Improvement Program (CRSIP),7,,3600,,0,0,0,3237,3326,2356,2276,2353,2376,2049,2049,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4347,0602301E,Computing Systems and Communications Technology,2,,400,,309100,308129,320648,310496,330722,376592,349666,358494,382294,390607,409256,424940,316590,334696,404859,0,0,342614,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4348,0605326A,Concepts Experimentation Program,6,RDT&E Management Support,2040,,16954,21285,20785,18179,18738,15410,30678,31501,33067,23330,23564,22627,39175,30704,26473,20866,24190,22727,37283,38496,31653,24787,25293,21626,28873,29652,34004,33178,33918,28271,26168,26407,23445,0,0,17101,19556,0,17704,0,27923,28755,0,28800,0,24720,27902,0,27902,0,21563,22246,0,37158,0,19430,0,19439,0,19430,0
4349,0303138N,Consolidated Afloat Network Enterprise Services (CANES),7,Operational Systems Development,1319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46823,45324,45513,0,0,42417,71520,0,63563,0,24039,24855,0,12906,0,15510,16749,0,16749,0,23965,24476,0,24476,0,22773,0,22780,0,21677,0
