systemequipmentcode,CSIScontractID
2AFU,4078307
554,19448404
3ACR,9939405
134,18946427
294,24499724
156,22783016
1DJN,9177596
3ACR,4181110
2ZBC,19427151
1DBV,484412
125,25654638
ZDE,10008593
125,10075971
3GBN,1159167
5ZOP,9285191
158,5288875
M16,1441609
2GFH,18688188
CAA,2348684
ZDE,24894089
3AFH,4084858
1AHM,9134844
106,7931215
ZDE,25566419
1AIA,500640
2APC,18658049
3ACD,4179545
2SDI,18680574
3AFH,1201046
181,9898574
2AHD,18949214
115,24580340
198,18983943
ZOP,9287401
125,22783544
3ABC,4038094
2AFU,20218562
ZBC,9270748
369,10112102
ZDE,19256744
3ACR,20242490
2AFX,18893972
180,17682249
124,9898191
3AHL,18897374
2AFU,18905704
1AHA,9213276
124,10078995
3ACD,4071768
128,24560237
124,9892844
3BSR,9903068
349,18013009
2AFU,18956856
1AHC,493036
180,3057342
3ACD,4083278
3AEC,1187712
N02,11136706
1ZDE,9299498
2ZBC,19103900
AFF,16599654
ZDE,24774928
M16,24711225
ZOP,25885531
CAA,2349102
125,10075390
1AIC,9203999
ZBC,24740960
N02,19243729
2GYC,18688543
3ACS,1182523
299,7975612
2AHP,18884820
1ZOP,9268889
2AFX,18665033
1AIA,18897031
2ZBC,19427131
174,7989058
ZBC,24862952
156,18923500
3AFF,1189528
3ABC,4026209
2AFX,18955612
ZDE,19061565
769,7976520
3GNP,9863272
N21,25662100
ZHR,4340580
1AHC,9211705
174,24571994
3ZDE,9925364
2AED,3240718
124,1404047
2ASF,20213634
2AAC,19297779
180,16671377
1AIA,4043875
ZOP,8259795
3ABC,9835181
ZOP,24741936
3ACR,9902365
294,24986968
2SCY,2965861
2ZBC,19106535
1AIC,493411
ZOP,24883238
2ACD,9897223
5ZDE,574213
2AHV,18900434
2ZOP,19141428
5ZSE,9324819
2SCS,2965647
3ZOP,9917896
124,10050424
2AFX,18952306
3BSR,9914390
3ACA,9837576
ZOP,24845886
2BTD,4083396
1AIA,9213547
ZOP,18699076
554,18698515
N21,10072873
2ZBC,19427167
1CAA,620426
156,24577881
M73,19548154
168,9897942
2BTF,9888717
176,1431364
548,10086243
3AFF,4083875
2ATS,NULL
158,9212065
2AFU,9903120
3AFF,18956968
ZOP,19317211
2BTK,18885790
3ACD,9836146
3ACS,4070331
ZOP,24740728
ZOP,9919995
1CNA,492897
125,5272801
ZOP,14093582
ZOP,10121231
1AIC,18065702
1ZBC,9287431
2ZBC,19426540
ZOP,10124477
3ACD,9935267
3AFF,1199671
ZBC,9323813
1ZOP,9292101
ZOP,10123458
CAA,10094957
1CAA,9422401
115,24580324
ZOP,9324393
3ABH,4059293
2SBP,2965657
CAA,24604968
157,24536872
1HYW,9185023
3AFF,20212119
3ABC,1201059
ZOP,24783224
3ACR,1200138
2ZOP,19142447
1AHK,14405072
2ZDE,19108981
M73,10104506
ZSE,24775622
1AIA,9134592
1AHC,9204167
301,19109208
2AHP,3241127
1CNE,498430
2AEB,3238379
3AFF,1157487
2AFX,18889043
2GHI,18691529
1ZOP,18691945
1AHA,481948
3ABC,9902287
125,1392223
ZOP,19254990
2BTK,18948429
1GIL,9197555
1DBV,9183088
1CMZ,493861
2ZOP,19141846
M16,24711363
ZOP,19110522
206,18838004
327,25660918
2ASF,18894629
156,22780616
ZOP,8342008
548,10064457
2AHJ,NULL
168,1383028
3BSJ,4084519
ZHK,3204688
2BTD,18656630
125,9936188
M17,3405671
2AFX,4076986
3AEC,20241974
3AAK,9819205
2CNJ,16627487
102,5291711
ZBC,19093022
174,7989611
1AIC,499860
549,2961569
DAM,9393552
2AFX,18885236
2SAF,3474782
2AFX,3238150
ZDE,19155554
125,1384961
2AHV,18949777
246,7960936
M09,9374681
M09,8461676
128,24535577
ZOP,15478966
2SDA,2977443
2GBZ,17913973
2AFU,18953736
3GYD,1148169
1AIC,9205104
3ACA,9888645
2ZDE,19128752
1ZSE,9286257
ZOP,8163826
124,25660868
2AAE,18952888
2AFU,18949514
M16,24710779
743,7966585
1DLD,9176384
M15,10115085
360,18171280
193,24565534
ZOP,9920596
1AIA,9200268
1AIC,9213471
2ZOP,19141431
2BJM,18885704
369,26386805
106,7933011
220,9898605
3ACD,20242242
349,9814152
3BSR,1188416
M16,17716769
2AFX,18954722
278,9209405
178,3588955
1DBV,485627
3ACA,1159820
ZDE,10125479
ZOP,24609370
2BJB,4083830
337,18729146
1AIC,489498
295,7957721
1DJN,9171170
198,18894022
M73,10104695
401,1386369
ZOP,24685935
200,1404799
2AHC,18897400
3CAA,9823169
3BSN,9893466
ZDE,15484711
3BSR,9903026
115,7985108
ZOP,10125768
554,18701160
ZOP,8051721
CAA,2340382
287,8213223
2AFX,3239547
2AHD,3241883
1AHA,9181450
181,10060048
3BSR,9913205
116,5288038
2AFU,18901170
ZOP,9922408
3AFH,4181530
174,26302387
ZOP,19415731
217,2963407
2AHD,3241070
1AIA,500537
1AHK,9204586
2SJA,19267436
ZOP,10122253
ZOP,10123249
2ACN,18657058
278,24568030
101,17013271
1DJB,9184910
3ABH,1200270
3ACD,9839641
156,10053907
274,7929221
404,10062256
157,7951105
ZOP,19330739
3ACD,1199970
1AHK,475363
CAA,25184855
1AIA,496315
1AIC,487792
157,24535455
GYI ,1175260
3AFH,9939224
CAA,8040366
1DCP,9171387
601,7931333
358,1222485
125,26152639
237,10099118
307,7934930
3ACA,20157140
3BSH,9911043
158,9209257
2AHV,18955625
3ACA,9838781
185,10097882
3AEC,1189752
103,25660944
1ZBC,9279542
575,9187495
149,25858176
3AFF,1158486
ZDE,9329554
2AEB,18888874
3ACD,20464042
3ACA,4066669
ZDE,19420892
M85,17976238
156,24579776
ZOP,10120441
M15,9813620
ZOP,19251137
341,24566367
3ACS,4071748
3ATB,9930724
3CNM,1152888
3AFH,20513970
ZOP,10127580
3GAI,9835889
3ACR,1187964
3ACD,20212026
3ATA,4083952
2AAE,3238712
1CAA,620612
166,10117984
1ZDE,9284262
3ACS,4036912
3BSN,9888431
125,10061695
3ACA,9930849
1DJN,488296
106,5289565
ZDE,10123561
1AIA,482621
2AEB,18664787
1DJN,485070
158,24579120
1ZDE,9287488
592,3392464
161,2963674
ZOP,24674634
125,9936603
CAA,8039951
212,3576274
3GBN,9845280
156,18923516
1ZSE,9297372
ZOP,19103091
2AED,20456550
3AFA,4079654
3AFH,9935308
1AHA,496455
3AFH,1199221
124,9887828
ZOP,15503732
2SGN,14091321
2AFU,18950115
ZHK,9331458
2ACG,3242627
115,7986336
3ACR,4073230
ZOP,19159696
2SDR,2976816
1AIC,9172080
1DJN,482843
1AIA,463474
3ACR,20242782
ZDE,9922116
ZSE,9323638
551,18699840
164,18686889
548,25153857
241,18726983
ZOP,10123252
116,18920218
3BSR,9911579
ZHK,9321697
3ABH,9904621
3GBN,9835728
122,10060216
ZOP,9916955
CAA,18406485
2AFU,18889288
2ASF,18665278
3BSR,1194141
1AIA,9140729
1ZDE,9281640
3CNF,1201073
116,5288041
1AHK,9129956
198,18983053
1AIC,9211662
280,7935712
769,25555152
178,2966466
3BSN,18894848
1DAM,9178652
AFG,1194411
3ACA,1187022
102,9887839
ZSE,24775615
3AFH,1200880
106,7935128
254,9886374
2AHV,3237206
ZOP,10119513
154,18664042
746,7959420
178,17775142
125,1392805
ZHK,8439746
1DAI,486115
351,10083537
1AIA,9202263
ZOP,24729272
ZOP,26432577
2AAA,3425142
102,10067926
1ZOP,9297064
1AIC,482459
3ACD,1158656
125,10071620
M16,24710103
782,10062182
125,9936229
2AHR,3240929
116,3255272
299,7966624
1DJN,481901
3ACD,1159675
ZSE,24793617
2ACD,4033435
3AFF,9837191
115,24578717
156,24569232
191,9209036
1AIA,9898712
125,9937248
274,9863285
2AFX,3238210
2ZOP,19141843
2SHC,3465185
ZOP,10122948
3BJL,4084370
156,24581134
1CAA,9422220
252,1416155
106,7933920
158,7987077
1DAD,9180235
CAA,18401949
782,25660921
2AFX,20457140
1AHC,461383
116,26206858
397,18908412
1AIC,500836
108,7933580
103,22787367
198,18983213
198,25662525
1AHS,NULL
174,24580441
ZOP,19159624
2SJW,19089754
ZOP,24685820
293,9960958
3AFH,9937591
158,7933824
2AFX,4078563
ZOP,24886037
3AFC,20219096
CAA,2349162
601,24558561
2SID,3367561
1AIA,9212316
166,1431185
2SBI,3465112
524,9861252
1AIC,9212927
2SJW,18987450
5ZOP,9286877
571,10084672
2AHV,18949759
157,9187096
2AHJ,4031219
1AIA,9209070
1AHA,500581
2AFX,18887394
N29,17889534
ZOP,10126320
1AIA,465303
360,22908279
ZOP,24821274
CAA,2340005
2AFU,3238369
178,17190612
161,3479476
1ACE,15461566
156,26301797
1DAF,9171960
1AIA,9205698
174,24571974
2AHV,18884996
ZOP,9273312
294,24951004
5ZDE,9285418
3AFF,20219105
ZOP,10121929
2ZOP,19255030
346,7946684
124,10085965
3ACR,1191788
ZOP,9328337
ZOP,9372307
ZOP,9372934
299,18627773
2CNZ,18688489
2AEB,18892287
CAA,2341024
ZOP,8349613
3AFH,20236992
349,9814233
5ZDE,9320732
CAA,2340632
178,3589089
2AAJ,2975638
CAA,621632
124,1372855
1AIC,481878
296,24506564
ZOP,8051452
156,24579859
1DAM,9181855
ZBC,19104283
3AFC,9817979
2AHJ,3237791
2ASF,3241824
592,3399517
549,18917419
2SID,3434949
158,24565970
289,18656913
3BSN,9905494
1AIC,9184294
1DCP,486077
ZOP,9276530
2ZOP,19255033
M16,24711340
157,7968815
3BSR,9898366
1FVA,9122840
2GDG,18702292
2AAE,3237444
3ATB,4076992
2BTK,18886059
2ZDE,19187315
CAA,621571
2SJW,3434783
2AAA,3240586
156,22254397
1ZOP,9270355
365,18782411
128,24545026
1ACH,577847
3AFH,9902722
2SIK,18880691
ZOP,24740751
3BSR,9894390
124,10068154
161,16741925
1GIF,465180
ZOP,19253908
178,2966675
ZOP,9279524
3AFF,1159276
174,22783145
1AIA,9206325
110,18803564
5ZSE,9337451
124,22189263
575,9187057
3BSP,9901457
2AFX,18884798
124,5291723
CAA,9823150
M16,8221594
156,24579444
115,7987358
351,10046112
ZDE,10120006
1AIA,487908
ZDE,3040005
3BSR,4088750
157,24533666
3ZDE,9924849
2SJW,18692604
294,24504307
178,17825204
1AHC,499023
3ACD,9835459
3AFH,4063368
125,9936978
2AAC,18757297
2SDN,18881194
3AFF,20457354
2ASF,18892840
1AIA,9209488
M16,24963814
1AHK,9205977
401,1383415
1DAF,482498
ZOP,8050639
3AFN,20212040
1AHC,9183480
2AHV,18900580
3AFV,1201269
ZOP,10124394
1GNP,465172
258,2985352
ZOP,17000972
156,24579046
ZOP,10122167
3ABH,1194611
102,1392613
1AIA,9190112
2BTK,4043328
831,24499343
1CAA,17782688
1AIA,9199999
CAA,25184815
2APC,18949212
2SDI,3112793
1CAA,9421465
2ZSE,NULL
296,24504337
2AFX,3240629
124,9883938
1CAA,621050
3ABC,4037025
2SMG,3112738
2SIK,19267331
125,10049959
1ZDE,9284992
ZOP,24742746
2SDA,2977420
575,7946473
1AIC,501649
158,501763
3AFH,9937495
1AIC,496428
1BTP,9212164
ZDE,3215270
1EDK,485599
3BSN,1187890
148,9203199
171,2997899
175,24559419
CAA,24604593
2AVG,3456731
174,26302364
3ACD,4073480
174,24571588
1GAM,495693
2SBI,3465623
N02,19243444
ZOP,8699869
CAA,9421233
278,24568053
2SBP,19267606
2BSH,20456566
2BJJ,20211824
178,26347168
3GAG,9835896
101,2961115
ZOP,24750821
2BSH,18885824
1AHK,9204563
125,10049773
1AHM,465325
125,10071144
161,18686489
ZOP,26303710
174,7989986
2SAF,3465502
ZHK,18259584
2AHV,3242302
ZOP,24609393
180,3051228
3ABH,9906121
158,9204242
212,2961840
3ACA,4072036
1AIA,493358
161,3479714
1AIG,9204881
198,18894045
180,16663909
1AIA,488094
212,26391278
148,24616789
125,1386687
3ACD,1188523
156,18923430
125,9937164
4CAA,9421503
549,18889785
ZOP,10127557
156,22783112
CAA,2349310
401,16651535
2AFX,4077776
601,24529397
125,10082445
157,7953249
1AIG,502402
2ZBC,19426832
124,25660891
1ZOP,9270753
2AVG,18951981
125,10071559
219,24503503
161,2864659
1AIC,9204128
181,26378588
5ZSE,9324155
2AAC,3239388
3AFH,9935394
ZOP,24887506
174,24572003
2APC,18955060
1AHA,9204779
3AFF,9887580
ZOP,10125330
171,2995091
201,9888316
2ZOP,19256659
3CAA,9823793
299,7953497
1AIC,500235
1AHA,9135107
CAA,18401888
3ZOP,9925264
201,10068908
3AHL,9846149
3ZOP,9918125
1AHK,501669
3AAK,1199345
5ZOP,9303152
2AHJ,20455513
1FVA,9123026
2APC,18755384
191,22780578
2AHC,18895674
ZDE,18855924
282,22780481
254,7984660
CAA,8040927
128,7946678
ZOP,18802585
ZOP,19250682
102,10076071
5ZOP,9947181
3ZBC,9925361
1CAA,9824856
ZOP,10120358
2AHJ,3241017
167,18909026
2AEB,18952366
M16,9202107
248,1412658
106,7934614
3AFH,4079578
2ZOP,19254847
2SDN,3112743
2AFX,4043481
CAA,18406508
ZOP,24896766
1DCP,9171407
4CAA,9421506
299,7962737
3BSR,9912953
ZBC,10347529
148,9203202
234,3403069
2AFU,18954360
3ZBC,14197508
134,22780492
1ZDE,9163521
1DCP,9172635
198,18983030
161,3479717
N02,19243447
178,17908736
156,24578153
1AIC,9213159
3AFH,9939908
ZOP,9373361
ZOP,26434235
2ZDE,19187501
282,9209360
116,18922110
2AFX,18953806
ZDE,19255156
156,26206897
111,21456237
1AHA,9140019
M73,19489073
337,18753225
2SMR,18987172
301,2964814
3AFH,1199138
278,9211088
401,16651538
1CNP,9197420
CAA,9421236
156,22780699
198,18658030
CAA,24604596
115,7989167
M14,3225725
3ATB,9912307
156,500086
ZOP,10120773
181,5290567
746,7947820
1AHC,9199816
174,24580705
258,2985538
1AHA,9211397
128,482722
178,18787443
ZOP,24797293
157,7946797
CAA,8039742
234,17210723
555,10098356
1CMC,9197178
1EDA,9186152
149,18682784
191,18658475
3GAM,NULL
3BSS,9906288
2SID,3367564
3AEC,9902387
2BJM,18955230
2ZOP,19062954
3ABH,9876629
219,18705938
3AAK,20457612
ZOP,9425618
1AIC,9212744
ZOP,9924655
3ACD,4059328
ZOP,10123398
1ZOP,9285214
ZOP,24684853
4CAA,621655
161,3480132
217,3051310
168,9841626
3ZOP,9919124
2AAC,19297834
333,18800316
158,7988195
2AHV,18955064
ZSE,24775078
212,19409674
1ZDE,9273339
530,22776532
2SHC,2962341
3AEC,20234334
3BSJ,9896276
3GAE,9845313
2SHC,2969815
2AHD,9211822
180,18686615
3BST,4059439
ZBC,24893710
157,24536288
ZOP,24725474
1AHC,9209929
106,7932387
ZOP,9269912
2AFX,18886793
1GRV,9134287
2SIK,18880694
ZOP,15461548
1AHC,9139756
161,3479528
ZOP,24815398
ZBC,19426764
ZOP,8162744
ZBC,19104280
2AFX,3237005
3ZOP,9918520
174,25557428
1AHK,9125190
2AEB,3241625
4CAA,18402158
ZBC,24674323
746,24534085
3BSN,9904495
128,24560821
2SEJ,3565115
158,7987591
234,3043525
2AEB,4072114
125,9940599
1GIL,9197535
1CNE,4063517
349,9813963
125,10075598
378,2961446
CAA,10094937
3BSN,9889158
1AIC,9184297
115,24580304
2AHV,18952837
CAA,24604407
156,18923244
548,9892624
2AEB,18884984
200,1404779
3ATB,4033434
3ACR,1188170
ZHK,19095506
1BTP,9136767
1GVE,9126542
3BSR,9886129
1AHC,9211741
3ABC,1158543
1AHC,9203915
ZDE,9920868
2BJM,18885621
1BTP,9209356
125,1358655
181,10060071
115,26208753
148,8056744
2BJM,18887244
3AFA,4079488
3BSJ,9888662
106,7932991
124,22192177
2AFU,20455493
746,24535897
258,2985349
2BCE,18899114
2AHV,18895545
1DAF,9173281
3BSP,9887597
2SDI,19265657
2BSL,3237696
2BTK,9889529
212,19407676
157,24534665
3ACS,9844341
5ZOP,15468691
5ZOP,15491147
571,9841782
2AFU,3241807
1ZOP,18691862
ZOP,24881180
369,18114358
1AHA,9189797
185,1423581
2SID,18987096
ZSE,8321253
2SDN,18881197
106,25553712
3BSN,1189699
1DJM,4063246
2ZDE,19142715
CAA,9421651
158,24580122
ZBC,8343572
2SCY,2965881
1DAF,485120
3ACA,4070622
1AIC,463527
369,1424203
103,26344406
3AFH,9875749
154,18973844
3BSN,9905122
ZHK,8252408
3AFF,9904145
1ZOP,9291666
2AFX,9846708
3AFF,9912801
1CNE,493850
1AIA,9212296
3BSR,9894808
503,10098246
CAA,9884896
3ACS,4070374
1AIA,9213527
1DJN,9183324
1DJN,9172896
3AFF,9836073
2BTK,9902161
125,10061469
ZBC,19256700
ZHK,24864103
ZOP,10123584
5ZOP,9310626
ZOP,18963555
125,5290488
174,24581309
3AFH,9934790
212,18907491
ZOP,9922219
CAA,8040346
3GAE,9846106
4CAA,621446
1AHC,9213344
104,494726
285,24800018
1AIA,9209906
307,7933599
1AIA,9212923
1AIA,9123540
3AFH,20236876
524,5272890
168,1382364
CAA,621153
3AFF,9846438
ZHK,3631142
125,9936583
156,24577944
3BSR,1187875
101,19222526
3AFA,20228044
ZOP,24674362
1AHK,20249298
1AIA,9122312
3AAK,9844472
2AEB,3237400
ZOP,9923447
1ZOP,9272562
1AIA,18905195
185,10082004
1ZOP,547690
108,7929840
2BJM,18885432
2APC,3238700
2SLJ,18676273
156,24579026
349,24949915
3BSR,9894785
1DBL,485888
ZOP,19423182
3ACR,4070900
3BSN,9905099
ZOP,24751425
ZOP,19092686
1GRU,9124947
N02,19243633
287,484539
2AFX,18887420
3BSR,1194224
ZOP,10119754
1CNE,495264
1ZOP,9285028
2AFU,4078147
115,24580699
554,19448406
2BTD,18656756
2AHV,18895525
1DBV,485793
354,25664797
3BSR,9903006
276,22194739
3ZDE,9919519
ZOP,9324725
154,18663348
1AHJ,2960792
549,18908557
ZBC,18085894
1AIA,499810
CAA,9421420
1AIA,9209359
102,1382785
181,5290275
ZOP,10120243
3AFH,9912101
582,26347139
3ZOP,9918007
2APC,18892186
2AVG,18952865
525,9861820
174,24565582
N28,1348912
1AIA,487404
ZBC,19423623
3ACR,9939342
1AHK,9123139
M85,9149945
101,19222562
198,19220808
N09,3373908
ZDE,24776385
575,7943945
3AFH,9939904
155,18684152
ZOP,19256807
125,1382649
1AHK,9204527
N21,25662140
ZOP,8237359
278,9211142
3ACR,1191310
2BCE,18887515
1DJN,9197118
233,24504407
ZOP,19139747
106,5290036
M73,26379856
1BTP,9205085
3BSR,9914389
ZBC,19429926
124,10079639
125,1381444
ZRS,24648949
103,10046652
248,14091906
1AIC,9205456
2SED,18691456
2AFU,20455613
3AUJ,1161036
174,24577673
1AIC,9213405
1DAF,485156
158,7985972
125,10075327
2CNJ,2966379
ZOP,9310687
503,10098282
125,10057594
2AHV,18955521
156,24579826
1ZOP,9298169
2BTF,18953463
3ABH,1187854
2APC,3239361
102,25153539
200,10073171
1DAI,485574
ZOP,9920919
1DJN,9140888
ZOP,10120054
3AAK,20233885
580,24526347
156,22783079
ZHK,21561794
380,10107698
746,9202832
549,18900871
1GBX,9134842
ZBC,19104511
1AIC,499087
ZOP,26433118
201,1382292
124,10049921
N02,11107240
156,18923460
3ACA,4070533
ZBC,19433049
278,24569956
2AFX,18948808
766,18659358
124,5291303
178,25796031
3ACD,4070497
125,10075533
2AEB,18898882
3AFH,9938696
CAA,2341110
4CAA,9421885
212,3575912
2FTH,NULL
CAA,2340091
ZDE,9923727
CAA,8040679
220,10078540
1DAE,483986
1AIC,9209784
1AIA,9125057
2APC,20198409
755,25151159
3ABH,1158843
CAA,9422628
3AFF,9934500
125,9936707
125,25654575
2AVG,3242539
1AHK,496638
324,5285632
1FQD,NULL
1CAA,9421679
1DBV,9171179
1AIA,493020
3CMU,1198831
ZOP,25885468
ZOP,24686361
ZOP,9285426
101,16648310
103,1392660
158,7983745
2AHV,9847968
1GIF,465536
ZOP,25666496
2SMP,18987735
369,19544429
ZBC,10125794
278,24566727
2ZDE,19109060
3ACA,4033367
156,24568754
3ACR,1188502
352,9448412
ZOP,10125590
2AVG,20218899
2SBI,3465590
3ACD,4071705
2BTK,18948530
234,3043834
3AFN,20218857
234,3140227
180,3056386
2AEB,4071279
746,7949407
ZDE,10120054
5ZOP,564507
174,24571433
254,7985826
1AIA,9139249
1CPA,495862
1CAA,621539
ZDE,24740633
2AFU,18889302
3BJL,4083248
3ACD,20457026
ZDE,10121262
198,18662793
ZOP,9372848
ZDE,10120243
341,24566365
3AMB,1190101
167,18918337
ZOP,8164066
1AIC,9139485
1AHA,502330
1AIA,482764
233,24500580
178,2966978
148,8056708
125,10071706
5ZDE,9284940
ZOP,19133318
3GAI,9835891
1GRU,9140377
ZOP,7953421
3ABH,4044129
2AHP,18895557
156,26301946
198,3248496
ZOP,9285237
ZOP,17714283
156,7987733
1DLD,9176177
1AIA,18896991
ZBC,19186901
125,10046130
220,18787196
1AIA,18952471
M09,9374702
167,18909054
CAA,14190609
1AIA,20234343
125,10052559
157,7968364
601,9187945
1CNE,495469
156,24570981
284,2970431
302,18681045
1CNE,495861
ZBC,539573
CAA,2340483
ZOP,10126798
ZOP,19140955
3BSN,9904726
ZOP,10122470
125,9937726
560,18660841
2ZOP,19141757
ZHK,9365194
2APC,4084749
1AIA,9184364
3GBN,9839190
2AAA,19085169
ZDE,26327777
156,24570563
5ZOP,544029
ZOP,24779923
2APC,3237529
2AAE,4079282
166,3166455
2SIK,18858192
ZBC,24741129
1AIA,9172296
360,18169913
1CAA,620935
ZDE,24779634
351,19445794
1ZDE,9273962
1AHK,502091
134,3255892
2AAC,3189930
ZOP,19102999
2AFX,20440180
3AFN,4032179
2ZDE,19186724
2AED,20204844
174,24571825
1DNC,9180420
1DAJ,486140
156,25557153
3BSG,1191985
1CAA,18176475
2SDR,20442758
3ACR,1189501
220,9900232
1EHC,488563
2BSH,19082699
103,10062049
1CNT,495374
2SGS,18860504
299,7959860
2AHG,2981049
1AHK,9209147
M15,9813528
2BTD,18951661
1CNE,9202814
1GIL,495535
168,10062418
200,9861653
106,5289827
260,7931297
2SEP,3565266
1DAK,483502
234,3043439
136,7946886
167,18905931
181,10058774
130,7937367
592,3392555
2AHP,18895766
1EHC,9190292
276,19388645
3ACD,1186628
115,7990036
178,2966975
3AIA,1159667
ZOP,26380157
3ABC,18956159
5ZOP,9285337
2AHD,20195062
1CAA,621748
ZDE,9921105
212,5288460
ZOP,25885465
2AFU,3239912
111,9892959
ZDE,18408694
2AVG,18948826
3GYA,9883185
401,12104558
191,18924053
5ZOP,9299446
2SID,18987777
1CNE,495237
1DJN,9177556
ZOP,9270212
ZOP,24778695
1AHK,9181052
ZSE,9324819
128,7951505
1AIC,4062405
2AHP,4066500
206,18785606
2ZOP,19063011
3BSJ,9911469
ZDE,9921918
168,10061605
CAA,9421211
ZOP,24887391
126,18920069
278,24566312
354,25664801
ZOP,10122467
2AFX,20213760
2GCA,2980631
1GIL,9197264
156,24578117
3AFF,9912442
1AIA,498662
156,7986920
2AHJ,18665157
2SIL,3437221
1CNP,495455
1AIA,20234612
158,24580272
2AVG,18954674
352,9437861
233,5270554
174,5289024
3GBN,1158918
125,20158578
746,24598420
1ZDE,9328255
116,22781855
2HDK,18753574
5ZOP,9285714
167,18901117
234,3043817
2SJW,18987405
2ZOP,19141763
3ACS,20242488
156,24580964
ZOP,10125851
200,1404882
125,9937685
601,9182027
ZOP,9306683
2ASF,3237310
2AHP,4181391
1DJN,481824
549,18663365
2AHV,18895837
156,26207790
503,11143021
106,24524583
212,19407968
181,10046732
2GHY,4067232
1DAH,9183244
101,19222629
CAA,8040449
CAA,2345503
158,24566677
178,18692089
191,22780472
198,17940877
2CNY,18665233
1AHC,493281
3AAK,1199451
124,10062014
299,7967543
282,24566408
180,3053561
282,7983595
2AFX,3236298
3ACD,9890315
1CAA,3844117
1DAI,9178027
212,3576188
ZOP,24677880
M73,10107068
541,7929839
1ZOP,9284925
2AFX,4077255
ZOP,10119465
548,1382602
2SCY,16602681
125,10057928
334,17004191
3BSR,9913059
180,16671463
CAA,18401782
185,10097859
2AED,18885141
352,9437791
3BSR,1194118
2ZOP,19058414
1CAA,18402260
115,24580593
1CMC,9200298
3DKC,9835611
1AHC,9211638
3AFF,18957051
3AFH,1200658
157,9187109
1AIC,499133
300,9883068
2AFX,4181789
2AFX,18893766
ZOP,10125436
ZHK,18680771
ZOP,15490410
171,2994985
3ACA,20456813
125,25465662
2SDN,2977475
3ACR,1191917
2AHB,18751190
178,12119143
1GVE,17768131
156,10053927
156,10063419
2AFX,20455646
212,22777329
2AFX,4078669
2ZBC,19255022
3ACD,1199595
3ZBC,9917515
CNX,620326
601,24545378
ZHK,24800445
125,10064403
115,9208918
219,2996671
1DJN,482823
CAA,2349204
548,26209223
549,26391262
1DAF,482392
1CNE,9197159
CAA,24604304
1ZOP,9324441
157,24535372
ZHK,19099253
349,9814066
ZHK,8420932
3AFH,20457299
125,10068230
ZOP,3069451
ZHK,1225311
115,9206757
175,7972444
210,2963970
3ACD,1160660
212,19407965
3ACS,4037599
1ZOP,9285526
1AHC,9213261
102,10067890
3ZOP,9925553
106,5289940
2AHC,18951051
2APC,18952146
2AFX,18884692
2AFX,18955698
369,25665344
3ACA,4036430
1AIC,489518
515,2932842
240,2960443
ZDE,10125914
3ZDE,9925370
2SDA,2979939
2BJM,18886743
3ATB,4084148
ZOP,9943261
548,10080169
125,10075472
2AFX,3238110
5ZOP,9292143
CAA,8501613
3ACD,1200010
1AHQ,NULL
3BTD,9901394
157,9178035
M16,24710052
5ZDE,9285431
ZOP,10127477
CAA,2348789
1DNH,4196429
ZOP,9121866
ZDE,9923198
156,9210474
2BTK,18948512
ZBC,19053606
2AFU,18949428
3AFH,20245449
ZOP,3225429
1AIA,501539
743,8503106
ZDE,19058351
3BSN,9846891
3GNQ,9844402
3ZOP,15494056
380,18698791
M16,8221700
2AAC,3188588
278,9210195
1HYH,9168529
ZOP,9304914
ZOP,24730406
2ZDE,19187790
ZOP,10123086
3AFH,1187070
3CNV,1198851
2ZBC,19164222
2ZDE,19186794
1CAA,2339758
210,2964763
1AIA,9183560
3AFH,9876854
3ZDE,9917418
3BST,1188345
3ATB,4078509
M16,24538196
158,24566259
515,2933257
1BTP,501561
1BTP,496314
1CAA,9421754
1AIC,9205021
3AFF,1159382
2AFU,18957088
124,10079744
CAA,18176590
1AIC,9213033
5ZSE,9285111
401,1383521
549,18663760
125,9938083
3ZOP,9920040
178,3589227
ZOP,19420640
1ZOP,9946973
N02,19243736
125,22783610
299,24557223
2BTK,18885770
125,9936271
289,18661055
234,20416704
2ZOP,19254744
2AFX,4079296
1ZSE,9282410
ZOP,24783204
174,24577685
1CAA,620343
ZOP,24774940
278,24569341
101,22150746
CAA,2340651
174,22783251
2AFX,3241937
M73,10101970
401,25152881
ZSE,9323263
571,5291831
3AFF,9837178
ZBC,24867593
ZHK,8440308
359,25551250
2CNJ,17814526
2AAC,19297127
158,24569090
3ACR,4071793
3ACR,9884509
198,19220811
3AFH,1199058
ZOP,8051346
575,7941730
161,18676373
ZOP,9372468
3ABH,9887223
M26,17939843
CAA,18402180
2ASF,18665192
2AHJ,18948638
3ATB,1200508
ZOP,9270038
ZOP,8322904
180,17909528
ZDE,9919159
ZOP,24896869
ZBC,19412549
2AFX,9903207
161,3479425
3ZOP,9918417
ZSE,24776598
1AIA,483348
156,24577861
ZBC,25666532
102,10064269
2BTD,18656653
178,3589038
1AHA,463468
ZSE,24775579
233,24500749
240,18658781
178,25866860
516,3478407
125,10071851
5ZOP,9279448
769,7972307
125,26378853
369,15483624
N02,18820697
178,16731315
3AFH,9935102
3BSR,9912661
210,2965367
3ACR,9935684
212,22777933
3ACD,4059431
2ZBC,19427124
1ZDE,19433184
3ZDE,9919230
258,18684188
ZOP,9921512
