CSISofficeName	CSISofficeName.PBL
CORPUS CHRISTI ARMY DEPOT	CORPUS CHRISTI ARMY DEPOT
CSF LEARNING SITE SERE WEST	CSF LEARNING SITE SERE WEST
DAVID TAYLOR NAVAL SHIP R&D CTR	DAVID TAYLOR NAVAL SHIP R&D CTR
DAVIS TAYLOR NAVAL SHIP R&D CTR	DAVIS TAYLOR NAVAL SHIP R&D CTR
DCMA PROCUREMENT CENTER BOSTON	DCMA PROCUREMENT CENTER BOSTON
DCMA PROCUREMENT CENTER CARSON	DCMA PROCUREMENT CENTER CARSON
DCMC LOCKHEED MARTIN DEFENSE SYS	DCMC LOCKHEED MARTIN DEFENSE SYS
DCMC LOCKHEED MARTIN MISSILES &	DCMC LOCKHEED MARTIN MISSILES &
DEF CONTRACT MGMT DISTRICT NE	DEF CONTRACT MGMT DISTRICT NE
DEF CONTRACT MGMT DISTRICT WEST	DEF CONTRACT MGMT DISTRICT WEST
DEF. CONTRACT. CMD. - WASHINGTON	DEF. CONTRACT. CMD. - WASHINGTON
DEFENSE ACTIVITY FOR	DEFENSE ACTIVITY FOR
DEFENSE ACTIVITY FOR NON-TRADITI	DEFENSE ACTIVITY FOR NON-TRADITI
DEFENSE CONTRACT MANAGEMENT - GF	DEFENSE CONTRACT MANAGEMENT - GF
DEFENSE CONTRACT MANAGEMENT - LO	DEFENSE CONTRACT MANAGEMENT - LO
DEFENSE CONTRACT MANAGEMENT AGENCY	DEFENSE CONTRACT MANAGEMENT AGENCY
DEFENSE CONTRACT MANAGEMENT AREA	DEFENSE CONTRACT MANAGEMENT AREA
DEFENSE CONTRACT MANAGEMENT DIVI	DEFENSE CONTRACT MANAGEMENT DIVI
DEFENSE CONTRACT MANAGMENT OFFICE	DEFENSE CONTRACT MANAGMENT OFFICE
DEFENSE DISTRIBUTION REGION WEST	DEFENSE DISTRIBUTION REGION WEST
DEFENSE ENERGY SUPPORT CENTER	DEFENSE ENERGY SUPPORT CENTER
"DEFENSE PLANT MANAGEMENT OFFICE,"	"DEFENSE PLANT MANAGEMENT OFFICE,"
DEFENSE PLANT REPRESENTATIVE OFF	DEFENSE PLANT REPRESENTATIVE OFF
DEFENSE SUPPLY CENTER RICHMOND	DEFENSE SUPPLY CENTER RICHMOND
DEPLOYMENT SUPPORT COMMAND (EAST	DEPLOYMENT SUPPORT COMMAND (EAST
DEPLOYMENT SUPPORT COMMAND (WEST	DEPLOYMENT SUPPORT COMMAND (WEST
DEPT OF AGRIC/FOOD SAFETY AND INSPECT SVC	DEPT OF AGRIC/FOOD SAFETY AND INSPECT SVC
DES DRMS CONTRACTING SERVICES OFC	DES DRMS CONTRACTING SERVICES OFC
DES DSCP CONTRACTING SERVICES OFC	DES DSCP CONTRACTING SERVICES OFC
DET 1 21 CONS	DET 1 21 CONS
DET 1 AFRL/PK	DET 1 AFRL/PK
DET 1 AFRL/PKQ ACQUISITION TECH.	DET 1 AFRL/PKQ ACQUISITION TECH.
DET 8 AFRL/PK	DET 8 AFRL/PK
DET 8 AFRL/PK (SUPPORTS VS)	DET 8 AFRL/PK (SUPPORTS VS)
DET 8 AFRL/PKO	DET 8 AFRL/PKO
"DET 8, AFRL/PK (SUPPORTS DE)"	"DET 8, AFRL/PK (SUPPORTS DE)"
"DET 8, AFRL/PK (SUPPORTS OTHER)"	"DET 8, AFRL/PK (SUPPORTS OTHER)"
DIR. OF CONTRACTING	DIR. OF CONTRACTING
DIRECTOR SUBMARINE FORCE US	DIRECTOR SUBMARINE FORCE US
DIRECTORATE OF CONTRACTING	DIRECTORATE OF CONTRACTING
DIRECTORATE OF PENINSULA CONTRG	DIRECTORATE OF PENINSULA CONTRG
DLA BSM-ENTERPRISE SITE OF BOSS	DLA BSM-ENTERPRISE SITE OF BOSS
DLA CONTRACTING SERVICES OFFICE	DLA CONTRACTING SERVICES OFFICE
DLA CONTRACTING SVCS OFF COLUMBUS	DLA CONTRACTING SVCS OFF COLUMBUS
DLA DEF REUTILIZATION MKTG SERVICE	DLA DEF REUTILIZATION MKTG SERVICE
DLA DISPOSITION SERVICES	DLA DISPOSITION SERVICES
DLA DISPOSITION SERVICES -  EBS	DLA DISPOSITION SERVICES -  EBS
DLA DISPOSITION SERVICES - EBS	DLA DISPOSITION SERVICES - EBS
DLA DISPOSITION SERVICES - PACIFIC	DLA DISPOSITION SERVICES - PACIFIC
DLA DISPOSITION SERVICES J-761	DLA DISPOSITION SERVICES J-761
DLA DISTRIBUTION	DLA DISTRIBUTION
DLA DOCUMENT SERVICES	DLA DOCUMENT SERVICES
DLA DOCUMENT SERVICES - BANGOR	DLA DOCUMENT SERVICES - BANGOR
DLA DOCUMENT SERVICES RAMSTEIN	DLA DOCUMENT SERVICES RAMSTEIN
